"","Value","Position","Age.x","MP","Starts_Playing_Time","Min_Playing_Time","Gls","Ast","G+A","PK","xG_Expected","xAG_Expected","npxG+xAG_Expected","Squad","Pos","Age.y"
"87",1e+07,"GK",29,33,33,2939,0,0,0,0,0,0.5,0.5,NA,NA,NA
"88",1e+07,"GK",24,34,34,3060,0,0,0,0,0,0,0,NA,NA,NA
"89",1e+07,"FW",31,31,31,2714,3,7,10,0,4.5,11.5,16,NA,NA,NA
"90",1e+07,"FW",23,25,17,1381,4,1,5,0,3.2,1.3,4.5,NA,NA,NA
"91",9e+06,"MF",24,29,17,1613,2,0,2,0,3.3,1.8,5.1,NA,NA,NA
"92",9e+06,"DF",30,21,20,1726,3,0,3,0,2.4,0.9,3.3,NA,NA,NA
"93",9e+06,"DF",26,21,19,1743,1,0,1,0,1.5,0,1.5,NA,NA,NA
"94",9e+06,"MF",32,26,22,1995,0,0,0,0,1.4,0,1.4,NA,NA,NA
"95",8e+06,"DF",25,28,21,1804,1,0,1,0,0.9,1.1,2,NA,NA,NA
"96",8e+06,"FW",22,34,14,1553,6,0,6,2,8.4,1.4,8.2,NA,NA,NA
"97",8e+06,"DF",21,29,26,2365,1,2,3,0,1.4,2.3,3.6,NA,NA,NA
"98",1.4e+08,"MF",21,24,20,1755,10,5,15,0,7.9,6,13.9,"Bayern Munich","MF,FW",20
"99",1.4e+08,"MF",21,32,26,2372,11,11,22,1,8.9,7.5,15.7,"Bayer Leverkusen","MF",20
"100",9e+07,"FW",31,32,32,2839,36,8,44,5,30.6,6.4,33,"Bayern Munich","FW",30
"101",8e+07,"MF",21,32,32,2653,8,11,19,1,8.3,9.8,16.4,"RB Leipzig","MF",20
"102",6e+07,"MF",26,21,17,1449,4,5,9,0,3.3,5.4,8.8,"RB Leipzig","MF",25
"103",6e+07,"FW",25,29,27,2301,12,6,18,2,11.6,4.4,14.5,"Eintracht Frankfurt","FW,MF",24
"104",5.5e+07,"MF",22,1,0,10,0,0,0,0,0,0.2,0.2,"Bayern Munich","FW",21
"105",5e+07,"DF",26,25,19,1762,1,0,1,0,1.7,0.5,2.1,"Bayern Munich","DF",24
"106",5e+07,"DF",24,29,24,2065,2,5,7,0,1,2.9,3.8,"Bayern Munich","DF",22
"107",5e+07,"DF",29,28,27,2176,1,6,7,0,1.1,7.1,8.3,"Bayern Munich","MF,DF",28
"108",5e+07,"MF",23,31,27,2251,9,7,16,0,8.2,5.9,14,"Bayer Leverkusen","DF",22
"109",5e+07,"DF",21,32,24,2191,1,0,1,0,0.8,0.1,0.9,"RB Leipzig","DF",20
"110",5e+07,"FW",21,31,17,1526,14,2,16,0,7.7,1.1,8.8,"RB Leipzig","FW",20
"111",4.5e+07,"FW",28,27,25,2137,8,11,19,0,10.9,10.8,21.8,"Bayern Munich","FW",27
"112",4.5e+07,"DF",25,22,16,1390,2,0,2,0,1.7,0.1,1.9,"Bayern Munich","DF",23
"113",4.5e+07,"FW",23,23,18,1546,14,8,22,4,15.4,3.7,16,"Bayer Leverkusen","FW",22
"114",4.2e+07,"MF",22,NA,27,2241,5,4,9,1,5.3,3.9,8.4,"Stuttgart","MF,FW",21
"115",4e+07,"DF",28,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"Bayern Munich","DF",27
"116",4e+07,"DF",29,33,31,2784,10,13,23,0,5.7,9.1,14.8,"Bayer Leverkusen","DF",27
"117",4e+07,"DF",25,28,23,2087,0,1,1,0,1,1,2,"Bayer Leverkusen","DF",24
"118",4e+07,"MF",26,24,21,1831,4,4,8,2,3.3,3.8,5.5,"Bayer Leverkusen","MF",24
"119",4e+07,"GK",26,27,27,2365,0,0,0,0,0,0,0,"Dortmund","GK",25
"120",4e+07,"DF",24,33,32,2859,2,1,3,0,3,1.9,4.9,"Dortmund","DF",23
"121",4e+07,"DF",23,33,33,2970,0,3,3,0,1.2,1.1,2.3,"Eintracht Frankfurt","DF",21
"122",4e+07,"DF",22,26,16,1484,1,2,3,0,1.9,0.5,2.5,"Bayer Leverkusen","DF",21
"123",4e+07,"FW",22,14,7,716,4,2,6,0,2.4,1.7,4.1,"Eintracht Frankfurt","FW",21
"124",3.5e+07,"FW",28,17,15,1113,3,3,6,0,2.8,3.8,6.6,"Bayern Munich","FW",27
"125",3.5e+07,"MF",28,32,26,2223,7,11,18,0,4.4,9.5,13.8,"Dortmund","MF,FW",27
"126",3.5e+07,"FW",22,21,10,913,3,1,4,0,3.5,2,5.5,"Dortmund","FW,MF",21
"127",3.5e+07,"MF",20,29,21,1886,2,1,3,0,1.3,1.4,2.7,"Eintracht Frankfurt","MF",19
"128",3.5e+07,"FW",29,10,5,432,3,1,4,0,2.4,1.2,3.7,"Bayern Munich","FW,MF",28
"129",3.2e+07,"DF",26,19,15,1197,0,3,3,0,0.9,1.8,2.6,"Bayern Munich","DF",25
"130",3.2e+07,"MF",23,NA,30,2694,1,5,6,0,1.6,5.1,6.7,"Stuttgart","MF",22
"131",3.2e+07,"MF",23,1,1,84,0,0,0,0,0.1,0,0.1,"Hoffenheim","MF",22
"132",3.2e+07,"DF",22,16,15,1264,2,2,4,0,0.9,1.4,2.3,"Dortmund","DF",21
"133",3e+07,"FW",19,30,6,1050,7,5,12,0,3.7,2.3,6,"Bayern Munich","FW,MF",18
"134",3e+07,"DF",28,31,30,2631,4,1,5,0,2.1,0.3,2.3,"Bayer Leverkusen","DF",27
"135",3e+07,"FW",22,33,29,2420,16,1,17,0,11.4,2.4,13.8,"Hoffenheim","FW,MF",20
"136",3e+07,"DF",25,NA,25,2228,0,2,2,0,0.9,2,2.9,"Stuttgart","DF",24
"137",3e+07,"FW",25,2,2,153,1,0,1,0,1.3,0,1.3,"Eintracht Frankfurt","FW",24
"138",3e+07,"FW",24,14,11,947,2,2,4,0,0.7,3,3.7,"Dortmund","FW,MF",23
"139",2.8e+07,"DF",24,32,23,2138,2,3,5,0,3.9,3.3,7.2,"RB Leipzig","DF",23
"140",2.8e+07,"MF",27,29,29,2477,0,5,5,0,1.1,2.6,3.6,"RB Leipzig","MF",25
"141",2.8e+07,"FW",26,33,33,2873,15,9,24,3,13.5,3.9,14.2,"Augsburg","FW,MF",25
"142",2.8e+07,"FW",25,27,21,1781,13,1,14,0,9.5,3,12.5,"Dortmund","FW,MF",24
"143",2.8e+07,"MF",24,20,10,1021,1,2,3,0,1.7,0.9,2.6,"Dortmund","MF",22
"144",1.8e+08,"MF",21,28,27,2315,19,6,25,1,11.1,5.3,15.6,NA,NA,NA
"145",1.8e+08,"FW",17,37,22,2201,5,5,10,0,5.2,6.2,11.4,NA,NA,NA
"146",1.3e+08,"MF",26,37,33,2904,2,7,9,0,3.5,5.8,9.3,NA,NA,NA
"147",1e+08,"FW",23,34,28,2380,10,5,15,0,11.7,4,14.9,NA,NA,NA
