"","Team.x","Player","Value","Position.x","MP","Starts_Playing_Time","Min_Playing_Time","Mins_Per_90_Playing_Time","Gls_Per_Minutes","Age.x.x","Apps.x","Season.x","Comp.x","Nation.x","PK","Gls","Ast","G+A","xG_Expected.x","xAG_Expected","Sh_Standard","SoT_percent_Standard"
"71","Lille","Carlos Baleba",2e+07,"MF",2,1,61,0.7,0,20,NA,"2023-2024","Ligue 1","CMR",0,0,0,0,0,0,2,50
"72","Olympique Marseille","Renan Lodi",2e+07,"DF",14,14,1235,13.7,0,26,NA,"2023-2024","Ligue 1","BRA",0,0,0,0,0.3,1.3,6,33.3
"73","Nice","Youssouf Ndayishimiye",1.8e+07,"MF",23,20,1712,19,0,25,NA,"2023-2024","Ligue 1","BDI",0,0,0,0,1.2,0.5,14,21.4
"74","Olympique Marseille","Iliman Ndiaye",1.8e+07,"MF",30,19,1618,18,0.17,24,NA,"2023-2024","Ligue 1","SEN",0,3,3,6,4.5,2.6,35,25.7
"75","Nice","Gaëtan Laborde",1.5e+07,"FW",34,22,1906,21.2,0.24,30,NA,"2023-2024","Ligue 1","FRA",1,5,2,7,7.7,1.8,62,35.5
"76","Nice","Jeremie Boga",1.5e+07,"MF",28,24,1998,22.2,0.27,27,NA,"2023-2024","Ligue 1","CIV",0,6,6,12,4.3,4.2,39,48.7
"77","Nice","Sofiane Diop",1.5e+07,"FW",10,6,499,5.5,0,23,NA,"2023-2024","Ligue 1","FRA",0,0,0,0,1.2,0.8,14,42.9
"78","Lille","Bafodé Diakité",1.5e+07,"DF",21,19,1696,18.8,0.27,24,NA,"2023-2024","Ligue 1","FRA",0,5,2,7,2,1.4,16,43.8
"79","Lille","Edon Zhegrova",1.5e+07,"FW",33,25,2288,25.4,0.24,25,NA,"2023-2024","Ligue 1","KVX",0,6,6,12,6.2,6.2,82,35.4
"80","Olympique Marseille","Jonathan Clauss",1.5e+07,"DF",27,25,2068,23,0.13,31,NA,"2023-2024","Ligue 1","FRA",0,3,4,7,1.3,4.6,28,28.6
"81","Olympique Marseille","Chancel Mbemba",1.5e+07,"DF",25,25,2207,24.5,0.08,29,NA,"2023-2024","Ligue 1","COD",0,2,2,4,1.8,1,19,10.5
"82","Olympique Marseille","Geoffrey Kondogbia",1.5e+07,"MF",26,15,1463,16.3,0,31,NA,"2023-2024","Ligue 1","CTA",0,0,0,0,0.4,0.5,8,12.5
"83","Olympique Marseille","Valentin Rongier",1.5e+07,"MF",10,10,851,9.5,0,29,NA,"2023-2024","Ligue 1","FRA",0,0,0,0,0.6,0.8,10,30
"84","Olympique Marseille","Jordan Veretout",1.5e+07,"MF",29,24,2183,24.3,0.04,31,NA,"2023-2024","Ligue 1","FRA",0,1,2,3,2.9,5,36,22.2
"85","Olympique Marseille","Amine Harit",1.5e+07,"MF",28,21,1821,20.2,0.05,26,NA,"2023-2024","Ligue 1","MAR",0,1,2,3,3.7,3.7,33,24.2
"86","Rennes","Azor Matusiwa",1.3e+07,"MF",16,16,1385,15.4,0.06,26,NA,"2023-2024","Ligue 1","NED",0,1,0,1,0.7,0.7,12,16.7
"87","Rennes","Azor Matusiwa",1.3e+07,"MF",16,16,1385,15.4,0.06,26,NA,"2023-2024","Ligue 1","NED",0,1,0,1,0.7,0.7,6,16.7
"88","Rennes","Azor Matusiwa",1.3e+07,"MF",12,9,794,8.8,0,26,NA,"2023-2024","Ligue 1","NED",0,0,1,1,0.3,0.4,12,16.7
"89","Rennes","Azor Matusiwa",1.3e+07,"MF",12,9,794,8.8,0,26,NA,"2023-2024","Ligue 1","NED",0,0,1,1,0.3,0.4,6,16.7
