"","Value","Position","Age.x","Mins_Per_90","Tkl_Tackles","TklW_Tackles","Def 3rd_Tackles","Mid 3rd_Tackles","Att 3rd_Tackles","Tkl_Challenges","Att_Challenges","Tkl_percent_Challenges","Lost_Challenges","Blocks_Blocks","Sh_Blocks","Pass_Blocks","Int","Tkl+Int","Clr","Err"
"109",5e+07,"MF",23,25,26,17,12,7,7,8,20,40,12,26,0,26,7,33,17,0
"110",5e+07,"DF",21,24.3,19,12,10,9,0,10,12,83.3,2,35,13,22,12,31,94,2
"111",5e+07,"FW",21,17,13,5,2,7,4,2,9,22.2,7,23,2,21,3,16,27,0
"112",4.5e+07,"FW",28,23.7,15,8,6,6,3,4,19,21.1,15,12,0,12,7,22,3,0
"113",4.5e+07,"DF",25,15.4,15,12,4,8,3,6,11,54.5,5,14,10,4,19,34,52,0
"114",4.5e+07,"FW",23,17.2,6,4,0,1,5,1,4,25,3,6,1,5,0,6,13,0
"115",4.2e+07,"MF",22,24.9,40,22,9,21,10,18,39,46.2,21,24,2,22,16,56,7,1
"116",4e+07,"DF",29,30.9,45,24,26,10,9,30,55,54.5,25,32,7,25,22,67,41,0
"117",4e+07,"DF",25,23.2,34,25,17,15,2,17,24,70.8,7,21,10,11,24,58,52,3
"118",4e+07,"MF",26,20.3,60,34,28,26,6,26,53,49.1,27,24,0,24,29,89,20,2
"119",4e+07,"GK",26,26.3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,11,0
"120",4e+07,"DF",24,31.8,70,50,36,27,7,41,65,63.1,24,52,25,27,45,115,101,3
"121",4e+07,"DF",23,33,62,37,38,23,1,31,53,58.5,22,51,22,29,47,109,152,2
"122",4e+07,"DF",22,16.5,35,22,14,17,4,13,17,76.5,4,18,7,11,13,48,43,0
"123",4e+07,"FW",22,8,11,7,3,6,2,4,6,66.7,2,10,0,10,2,13,4,0
"124",3.5e+07,"FW",28,12.4,12,7,5,3,4,9,17,52.9,8,15,1,14,2,14,5,0
"125",3.5e+07,"MF",28,24.7,17,14,8,8,1,10,27,37,17,20,3,17,8,25,18,0
"126",3.5e+07,"FW",22,10.1,16,14,9,4,3,8,20,40,12,11,0,11,3,19,5,0
"127",3.5e+07,"MF",20,21,32,18,18,10,4,15,28,53.6,13,34,7,27,29,61,30,1
"128",3.5e+07,"FW",29,4.8,8,5,0,5,3,2,13,15.4,11,5,0,5,3,11,2,0
"129",3.2e+07,"DF",26,13.3,32,21,14,11,7,13,21,61.9,8,14,1,13,20,52,27,1
"130",3.2e+07,"MF",23,29.9,55,33,15,34,6,24,42,57.1,18,41,13,28,28,83,25,2
"131",3.2e+07,"MF",23,0.9,0,0,0,0,0,0,1,0,1,2,0,2,0,0,3,0
"132",3.2e+07,"DF",22,14,30,22,15,9,6,16,30,53.3,14,22,4,18,13,43,26,0
"133",3e+07,"FW",19,11.7,12,2,3,4,5,4,6,66.7,2,11,0,11,6,18,6,0
"134",3e+07,"DF",28,29.2,19,9,10,7,2,5,16,31.3,11,28,23,5,23,42,97,1
"135",3e+07,"FW",22,26.9,20,12,5,11,4,4,19,21.1,15,21,1,20,9,29,12,0
